Accession	Gene_name	Protein_name
P11142-2	HSPA8	Isoform 2 of Heat shock cognate 71 kDa protein
P11166	SLC2A1;GLUT1	Solute carrier family 2, facilitated glucose transporter member 1
P11169	SLC2A3;GLUT3	Solute carrier family 2, facilitated glucose transporter member 3
P11171	EPB41;E41P	Protein 4.1
P11174	RPS15; RIG	40S ribosomal protein S15
P11177	PDHB;PHE1B	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
P11177-2	PDHB	Isoform 2 of Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
P11182	DBT;BCATE2	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial
P11215	ITGAM;CD11B;CR3A	Integrin alpha-M
P11216	PYGB	Glycogen phosphorylase, brain form
P11217	PYGM	Glycogen phosphorylase, muscle form
P11233	RALA;RAL	Ras-related protein Ral-A
P11234	RALB	Ras-related protein Ral-B
P11277	SPTB;SPTB1	Spectrin beta chain, erythrocytic
P11279	LAMP1	Lysosome-associated membrane glycoprotein 1
P11310	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial
P11387	TOP1	DNA topoisomerase 1
P11388-2	TOP2A	Isoform 2 of DNA topoisomerase 2-alpha
P11413	G6PD	Glucose-6-phosphate 1-dehydrogenase
P11476	RAB1A; RAB1	Ras-related protein Rab-1A
P11488	GNAT1;GNATR	Guanine nucleotide-binding protein G
P11518	RPL7A; SURF-3; SURF3	60S ribosomal protein L7a
P11532	DMD	Dystrophin
P11586	MTHFD1;MTHFC;MTHFD	C-1-tetrahydrofolate synthase, cytoplasmic
P11678	EPX;EPER;EPO;EPP	Eosinophil peroxidase
P11717	IGF2R;MPRI	Cation-independent mannose-6-phosphate receptor
P11836	MS4A1;CD20	B-lymphocyte antigen CD20
P11940	PABPC1;PAB1;PABP1;PABPC2	Polyadenylate-binding protein 1
P11979	PKM;PKM2	Pyruvate kinase PKM
P12004	PCNA	Proliferating cell nuclear antigen
P12034	FGF5	Fibroblast growth factor 5
P12074	COX6A1;COX6AL	Cytochrome c oxidase subunit 6A1, mitochondrial
P12109	COL6A1	Collagen alpha-1 chain
P12111	COL6A3	Collagen alpha-3 chain
P12235	SLC25A4;ANT1	ADP/ATP translocase 1
P12236	SLC25A6;ANT3;CDABP0051	ADP/ATP translocase 3
P12259	F5	Coagulation factor V
P12268	IMPDH2;IMPD2	Inosine-5'-monophosphate dehydrogenase 2
P12270	TPR	Nucleoprotein TPR
P12273	PIP;GCDFP15;GPIP4	Prolactin-inducible protein
P12277	CKB;CKBB	Creatine kinase B-type
P12318	FCGR2A;CD32;FCG2;FCGR2A1;IGFR2	Low affinity immunoglobulin gamma Fc region receptor II-a
P12429	ANXA3;ANX3	Annexin A3
P12532-1	CKMT1A 	Creatine kinase U-type, mitochondrial
P12814	ACTN1	Alpha-actinin-1
P12814-2	ACTN1	Isoform 2 of Alpha-actinin-1
P12821	ACE;DCP;DCP1	Angiotensin-converting enzyme
P12830	CDH1;CDHE;UVO	Cadherin-1
P12883	MYH7;MYHCB	Myosin-7
P12931	SRC;SRC1	Proto-oncogene tyrosine-protein kinase Src
P12953	ATP6V0D1; ATP6D; VPATPD	V-type proton ATPase subunit d 1
P12956	XRCC6;G22P1	X-ray repair cross-complementing protein 6
P13010	XRCC5;G22P2	X-ray repair cross-complementing protein 5
P13073	COX4I1;COX4	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
P13164	IFITM1;CD225;IFI17	Interferon-induced transmembrane protein 1
P13196	ALAS1;ALAS3;ALASH;OK/SW-cl.121	5-aminolevulinate synthase, nonspecific, mitochondrial
P13224	GP1BB	Platelet glycoprotein Ib beta chain
P13473	LAMP2	Lysosome-associated membrane glycoprotein 2
P13489	RNH1;PRI;RNH	Ribonuclease inhibitor
P13591	NCAM1;NCAM	Neural cell adhesion molecule 1
P13592	NCAM1; NCAM	Neural cell adhesion molecule 1
P13598	ICAM2	Intercellular adhesion molecule 2
P13612	ITGA4;CD49D	Integrin alpha-4
P13637	ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-3
P13639	EEF2;EF2	Elongation factor 2
P13645	KRT10;KPP	Keratin, type I cytoskeletal 10
P13646	KRT13	Keratin, type I cytoskeletal 13
P13647	KRT5	Keratin, type II cytoskeletal 5
P13667	PDIA4;ERP70;ERP72	Protein disulfide-isomerase A4
P13674	P4HA1;P4HA	Prolyl 4-hydroxylase subunit alpha-1
P13688	CEACAM1;BGP;BGP1	Carcinoembryonic antigen-related cell adhesion molecule 1
P13693	TPT1	Translationally-controlled tumor protein
P13716	ALAD	Delta-aminolevulinic acid dehydratase
P13746	HLA-A;HLAA	HLA class I histocompatibility antigen, A-11 alpha chain
P13747	HLA-E;HLA-6.2;HLAE	HLA class I histocompatibility antigen, alpha chain E
P13796	LCP1;PLS2	Plastin-2
P13797	PLS3	Plastin-3
P13798	APEH;D3F15S2;D3S48E;DNF15S2	Acylamino-acid-releasing enzyme
P13804	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial
P13807	GYS1;GYS	Glycogen [starch] synthase, muscle
P13861	PRKAR2A;PKR2;PRKAR2	cAMP-dependent protein kinase type II-alpha regulatory subunit
P13929	ENO3	Beta-enolase
P13942	COL11A2	Collagen alpha-2 chain
P13987	CD59;MIC11;MIN1;MIN2;MIN3;MSK21	CD59 glycoprotein
P13995	MTHFD2;NMDMC	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
P14060	HSD3B1;3BH;HSDB3A	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
P14061	HSD17B1;E17KSR;EDH17B1;EDH17B2;EDHB17	Estradiol 17-beta-dehydrogenase 1
P14118	RPL19	60S ribosomal protein L19
P14136	GFAP	Glial fibrillary acidic protein
P14174	MIF;GLIF;MMIF	Macrophage migration inhibitory factor
P14209	CD99;MIC2;MIC2X;MIC2Y	CD99 antigen
P14210	HGF;HPTA	Hepatocyte growth factor
P14314	PRKCSH;G19P1	Glucosidase 2 subunit beta
P14317	HCLS1;HS1	Hematopoietic lineage cell-specific protein
P14324	FDPS;FPS;KIAA1293	Farnesyl pyrophosphate synthase
P14373	TRIM27;RFP;RNF76	Zinc finger protein RFP
P14384	CPM	Carboxypeptidase M
P14406	COX7A2;COX7AL	Cytochrome c oxidase subunit 7A2, mitochondrial
P14550	AKR1A1;ALDR1;ALR	Alcohol dehydrogenase [NADP
P14598	NCF1;NOXO2;SH3PXD1A	Neutrophil cytosol factor 1
P14618	PKM;OIP3;PK2;PK3;PKM2	Pyruvate kinase PKM
P14618-1	PKM 	Pyruvate kinase PKM
P14625	HSP90B1;GRP94;TRA1	Endoplasmin
P14678	SNRPB;COD;SNRPB1	Small nuclear ribonucleoprotein-associated proteins B and B'
P14770	GP9	Platelet glycoprotein IX
P14780	MMP9;CLG4B	Matrix metalloproteinase-9
P14854	COX6B1;COX6B	Cytochrome c oxidase subunit 6B1
P14866	HNRNPL;HNRPL;P/OKcl.14	Heterogeneous nuclear ribonucleoprotein L
P14868	DARS;PIG40	Aspartate--tRNA ligase, cytoplasmic
P14923	JUP;CTNNG;DP3	Junction plakoglobin
P14927	UQCRB;UQBP	Cytochrome b-c1 complex subunit 7
P15104	GLUL;GLNS	Glutamine synthetase
P15121	AKR1B1;ALDR1	Aldose reductase
P15144	ANPEP;APN;CD13;PEPN	Aminopeptidase N
P15151	PVR;PVS	Poliovirus receptor
P15153	RAC2	Ras-related C3 botulinum toxin substrate 2
P15154	RAC1; TC25	Ras-related C3 botulinum toxin substrate 1
P15289	ARSA	Arylsulfatase A
P15291	B4GALT1;GGTB2	Beta-1,4-galactosyltransferase 1
P15311	EZR;VIL2	Ezrin
P15313	ATP6V1B1;ATP6B1;VATB;VPP3	V-type proton ATPase subunit B, kidney isoform
P15328	FOLR1;FOLR	Folate receptor alpha
P15529	CD46;MCP;MIC10	Membrane cofactor protein
P15531	NME1;NDPKA;NM23	Nucleoside diphosphate kinase A
P15812	CD1E	T-cell surface glycoprotein CD1e, membrane-associated
P15880	RPS2;RPS4	40S ribosomal protein S2
P15924	DSP	Desmoplakin
P15924-1	DSP 	Desmoplakin
P15927	RPA2;REPA2;RPA32;RPA34	Replication protein A 32 kDa subunit
P15941	MUC1;PUM	Mucin-1
P15941-7	MUC1	Isoform Y of Mucin-1
P15954	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial
P16070	CD44;LHR;MDU2;MDU3;MIC4	CD44 antigen
P16070-2	NA	NA
P16106	NA	Histone H3.1
P16144	ITGB4	Integrin beta-4
P16144-4	ITGB4	Isoform Beta-4D of Integrin beta-4
P16150	SPN;CD43	Leukosialin
P16152	CBR1;CBR;CRN	Carbonyl reductase [NADPH] 1
P16157	ANK1;ANK	Ankyrin-1
P16188	HLA-A;HLAA	HLA class I histocompatibility antigen, A-30 alpha chain
P16190	HLA-A;HLAA	HLA class I histocompatibility antigen, A-33 alpha chain
P16234	PDGFRA;PDGFR2;RHEPDGFRA	Platelet-derived growth factor receptor alpha
P16278-2	GLB1	Isoform 2 of Beta-galactosidase
P16284	PECAM1	Platelet endothelial cell adhesion molecule
P16298	PPP3CB;CALNA2;CALNB;CNA2	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
P16401	HIST1H1B;H1F5	Histone H1.5
P16402	HIST1H1D;H1F3	Histone H1.3
P16403	HIST1H1C;H1F2	Histone H1.2
P16422	EPCAM;GA733-2;M1S2;M4S1;MIC18;TACSTD1;TROP1	Epithelial cell adhesion molecule
P16435	POR;CYPOR	NADPH--cytochrome P450 reductase
P16444	DPEP1;MDP;RDP	Dipeptidase 1
P16452	EPB42;E42P	Erythrocyte membrane protein band 4.2
P16475	MYL6	Myosin light polypeptide 6
P16615	ATP2A2;ATP2B	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
P16615-1	ATP2A2 	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
P16662	UGT2B7;UGTB2B9	UDP-glucuronosyltransferase 2B7
P16671	CD36;GP3B;GP4	Platelet glycoprotein 4
P16930	FAH	Fumarylacetoacetase
P16949	STMN1;C1orf215;LAP18;OP18	Stathmin
P16989	YBX3;CSDA;DBPA	Y-box-binding protein 3
P17008	RPS16	40S ribosomal protein S16
P17066	HSPA6;HSP70B'	Heat shock 70 kDa protein 6
P17080	RAN	GTP-binding nuclear protein Ran
P17082	RRAS2; TC21	Ras-related protein R-Ras2
P17096-1	HMGA1 	High mobility group protein HMG-I/HMG-Y
P17152	TMEM11;C17orf35;PM1	Transmembrane protein 11, mitochondrial
P17174	GOT1	Aspartate aminotransferase, cytoplasmic
P17213	BPI	Bactericidal permeability-increasing protein
P17252	PRKCA;PKCA;PRKACA	Protein kinase C alpha type
P17301	ITGA2;CD49B	Integrin alpha-2
P17302	GJA1;GJAL	Gap junction alpha-1 protein
P17342	NPR3;ANPRC;C5orf23;NPRC	Atrial natriuretic peptide receptor 3
P17540	CKMT2	Creatine kinase S-type, mitochondrial
P17568	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
P17600	SYN1	Synapsin-1
P17655	CAPN2;CANPL2	Calpain-2 catalytic subunit
P17661	DES	Desmin
P17677	GAP43	Neuromodulin
P17706	PTPN2;PTPT	Tyrosine-protein phosphatase non-receptor type 2
P17812	CTPS1;CTPS	CTP synthase 1
P17813	ENG;END	Endoglin
P17844	DDX5;G17P1;HELR;HLR1	Probable ATP-dependent RNA helicase DDX5
P17858	PFKL	ATP-dependent 6-phosphofructokinase, liver type
P17927	CR1;C3BR	Complement receptor type 1
P17931	LGALS3;MAC2	Galectin-3
P17964	NA	Ras-related protein Rap-2b
P17980	PSMC3;TBP1	26S protease regulatory subunit 6A
P17987	TCP1;CCT1;CCTA	T-complex protein 1 subunit alpha
P18031	PTPN1;PTP1B	Tyrosine-protein phosphatase non-receptor type 1
P18075	BMP7;OP1	Bone morphogenetic protein 7
P18077	RPL35A;GIG33	60S ribosomal protein L35a
P18084	ITGB5	Integrin beta-5
P18085	ARF4;ARF2	ADP-ribosylation factor 4
P18124	RPL7	60S ribosomal protein L7
P18206	VCL	Vinculin
P18564	ITGB6	Integrin beta-6
P18582	NA	CD81 antigen
P18621	RPL17	60S ribosomal protein L17
P18627	LAG3;FDC	Lymphocyte activation gene 3 protein
P18669	PGAM1;PGAMA;CDABP0006	Phosphoglycerate mutase 1
P18754	RCC1;CHC1	Regulator of chromosome condensation
P18827	SDC1;SDC	Syndecan-1
P18858	LIG1	DNA ligase 1
P18859	ATP5J;ATP5A;ATPM	ATP synthase-coupling factor 6, mitochondrial
P19012	KRT15;KRTB	Keratin, type I cytoskeletal 15
P19013	KRT4;CYK4	Keratin, type II cytoskeletal 4
P19022	CDH2;CDHN;NCAD	Cadherin-2
P19086	GNAZ	Guanine nucleotide-binding protein G
P19087	GNAT2;GNATC	Guanine nucleotide-binding protein G
P19105	MYL12A;MLCB;MRLC3;RLC	Myosin regulatory light chain 12A
P19174	PLCG1;PLC1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
P19256	CD58;LFA3	Lymphocyte function-associated antigen 3
P19256-2	CD58	Isoform 2 of Lymphocyte function-associated antigen 3
P19338	NCL	Nucleolin
P19367	HK1	Hexokinase-1
P19388	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1
P19404	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial
P19429	TNNI3;TNNC1	Troponin I, cardiac muscle
P19483	ATP5A1;ATP5A2	ATP synthase subunit alpha, mitochondrial
P19623	SRM;SPS1;SRML1	Spermidine synthase
P19634	SLC9A1;APNH1;NHE1	Sodium/hydrogen exchanger 1
P19823	ITIH2;IGHEP2	Inter-alpha-trypsin inhibitor heavy chain H2
P19878	NCF2;NOXA2;P67PHOX	Neutrophil cytosol factor 2
P19971	TYMP;ECGF1	Thymidine phosphorylase
P20020	ATP2B1;PMCA1	Plasma membrane calcium-transporting ATPase 1
P20020-5	ATP2B1	Isoform E of Plasma membrane calcium-transporting ATPase 1
P20029	Hspa5;Grp78	78 kDa glucose-regulated protein
P20073	ANXA7;ANX7;SNX;OK/SW-cl.95	Annexin A7
P20172	NA	AP-2 complex subunit mu
P20290	BTF3;NACB;OK/SW-cl.8	Transcription factor BTF3
P20309	CHRM3	Muscarinic acetylcholine receptor M3
P20336	RAB3A	Ras-related protein Rab-3A
P20337	RAB3B	Ras-related protein Rab-3B
P20338	RAB4A;RAB4	Ras-related protein Rab-4A
P20339	RAB5A;RAB5	Ras-related protein Rab-5A
P20340	RAB6A;RAB6	Ras-related protein Rab-6A
P20340-2	RAB6A	Isoform 2 of Ras-related protein Rab-6A
P20591	MX1	Interferon-induced GTP-binding protein Mx1
P20592	MX2	Interferon-induced GTP-binding protein Mx2
P20594	NPR2;ANPRB	Atrial natriuretic peptide receptor 2
P20618	PSMB1;PSC5	Proteasome subunit beta type-1
P20645	M6PR;MPR46;MPRD	Cation-dependent mannose-6-phosphate receptor
P20648	ATP4A	Potassium-transporting ATPase alpha chain 1
P20671	HIST1H2AD;H2AFG	Histone H2A type 1-D
P20674	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial
P20700	LMNB1;LMN2;LMNB	Lamin-B1
P20701	ITGAL;CD11A	Integrin alpha-L
P20908	COL5A1	Collagen alpha-1 chain
P20930	FLG	Filaggrin
P20963	CD247;CD3Z;T3Z;TCRZ	T-cell surface glycoprotein CD3 zeta chain
P21281	ATP6V1B2;ATP6B2;VPP3	V-type proton ATPase subunit B, brain isoform
P21283	ATP6V1C1;ATP6C;ATP6D;VATC	V-type proton ATPase subunit C 1
P21291	CSRP1;CSRP;CYRP	Cysteine and glycine-rich protein 1
P21333	FLNA;FLN;FLN1	Filamin-A
P21378	NA	Signal peptidase complex catalytic subunit SEC11A
P21397	MAOA	Amine oxidase [flavin-containing] A
P21399	ACO1;IREB1	Cytoplasmic aconitate hydratase
P21579	SYT1;SVP65;SYT	Synaptotagmin-1
P21580	TNFAIP3;OTUD7C	Tumor necrosis factor alpha-induced protein 3
P21583	KITLG;MGF;SCF	Kit ligand
P21589	NT5E;NT5;NTE	5'-nucleotidase
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1
P21810	BGN;SLRR1A	Biglycan
P21851	NA	AP-2 complex subunit beta
P21912	SDHB;SDH;SDH1	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial
P21926	CD9;MIC3;TSPAN29;GIG2	CD9 antigen
P21964	COMT	Catechol O-methyltransferase
P21980	TGM2	Protein-glutamine gamma-glutamyltransferase 2
P21980-1	TGM2 	Protein-glutamine gamma-glutamyltransferase 2
P22003	BMP5	Bone morphogenetic protein 5
P22059	OSBP;OSBP1	Oxysterol-binding protein 1
P22061	PCMT1	Protein-L-isoaspartate
P22087	FBL;FIB1;FLRN	rRNA 2'-O-methyltransferase fibrillarin
P22090	RPS4Y1;RPS4Y;PRO2646	40S ribosomal protein S4, Y isoform 1
P22102	GART;PGFT;PRGS	Trifunctional purine biosynthetic protein adenosine-3
P22234	PAICS;ADE2;AIRC;PAIS	Multifunctional protein ADE2
P22307	SCP2	Non-specific lipid-transfer protein
P22314	UBA1;A1S9T;UBE1	Ubiquitin-like modifier-activating enzyme 1
P22392	NME2;NM23B	Nucleoside diphosphate kinase B
P22392-1	NME2 	Nucleoside diphosphate kinase B
P22413	ENPP1;M6S1;NPPS;PC1;PDNP1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
P22607	FGFR3;JTK4	Fibroblast growth factor receptor 3
P22626	HNRNPA2B1;HNRPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1
P22674	CCNO	Cyclin-O
P22695	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial
P22760	AADAC;DAC	Arylacetamide deacetylase
P22830	FECH	Ferrochelatase, mitochondrial
P23131	NA	60S ribosomal protein L23
P23142	FBLN1;PP213	Fibulin-1
P23219	PTGS1;COX1	Prostaglandin G/H synthase 1
P23229	ITGA6	Integrin alpha-6
P23246	SFPQ;PSF	Splicing factor, proline- and glutamine-rich
P23246-1	SFPQ 	Splicing factor, proline- and glutamine-rich
P23258	TUBG1;TUBG	Tubulin gamma-1 chain
P23284	PPIB;CYPB	Peptidyl-prolyl cis-trans isomerase B
P23368	ME2	NAD-dependent malic enzyme, mitochondrial
P23396	RPS3;OK/SW-cl.26	40S ribosomal protein S3
P23434	GCSH	Glycine cleavage system H protein, mitochondrial
P23458	JAK1;JAK1A;JAK1B	Tyrosine-protein kinase JAK1
P23467	PTPRB;PTPB	Receptor-type tyrosine-protein phosphatase beta
P23468	PTPRD	Receptor-type tyrosine-protein phosphatase delta
P23470	PTPRG;PTPG	Receptor-type tyrosine-protein phosphatase gamma
P23471	PTPRZ1;HTPZP2;PTPRZ;PTPRZ2;PTPZ	Receptor-type tyrosine-protein phosphatase zeta
P23515	OMG;OMGP	Oligodendrocyte-myelin glycoprotein
P23526	AHCY;SAHH	Adenosylhomocysteinase
P23527	HIST1H2BO;H2BFH;H2BFN	Histone H2B type 1-O
P23528	CFL1;CFL	Cofilin-1
P23588	EIF4B	Eukaryotic translation initiation factor 4B
P23634	ATP2B4;ATP2B2;MXRA1	Plasma membrane calcium-transporting ATPase 4
P23760	PAX3;HUP2	Paired box protein Pax-3
P23771-1	GATA3 	Trans-acting T-cell-specific transcription factor GATA-3
P23786	CPT2;CPT1	Carnitine O-palmitoyltransferase 2, mitochondrial
P23975	SLC6A2;NAT1;NET1;SLC6A5	Sodium-dependent noradrenaline transporter
P24310	COX7A1;COX7AH	Cytochrome c oxidase subunit 7A1, mitochondrial
P24390	KDELR1;ERD2.1	ER lumen protein-retaining receptor 1
P24407	RAB8A; MEL; RAB8	Ras-related protein Rab-8A
P24410	NA	Ras-related protein Rab-11A
P24534	EEF1B2;EEF1B;EF1B	Elongation factor 1-beta
P24539	ATP5F1	ATP synthase F
P24557	TBXAS1;CYP5;CYP5A1	Thromboxane-A synthase
P24572	NA	Myosin light polypeptide 6
P24593	IGFBP5;IBP5	Insulin-like growth factor-binding protein 5
P24666	ACP1	Low molecular weight phosphotyrosine protein phosphatase
P24723	PRKCH;PKCL;PRKCL	Protein kinase C eta type
P24752	ACAT1;ACAT;MAT	Acetyl-CoA acetyltransferase, mitochondrial
P24844	MYL9;MLC2;MRLC1;MYRL2	Myosin regulatory light polypeptide 9
P24941	CDK2;CDKN2	Cyclin-dependent kinase 2
P25098	ADRBK1;BARK;BARK1;GRK2	Beta-adrenergic receptor kinase 1
P25111	RPS25	40S ribosomal protein S25
P25120	NA	60S ribosomal protein L8
P25205	MCM3	DNA replication licensing factor MCM3
P25232	RPS18; D6S218E	40S ribosomal protein S18
P25325	MPST;TST2	3-mercaptopyruvate sulfurtransferase
P25398	RPS12	40S ribosomal protein S12
P25445	FAS;APT1;FAS1;TNFRSF6	Tumor necrosis factor receptor superfamily member 6
P25685	DNAJB1;DNAJ1;HDJ1;HSPF1	DnaJ homolog subfamily B member 1
P25705	ATP5A1;ATP5A;ATP5AL2;ATPM	ATP synthase subunit alpha, mitochondrial
P25763	NA	Cell division control protein 42 homolog
P25786	PSMA1;HC2;NU;PROS30;PSC2	Proteasome subunit alpha type-1
P25787	PSMA2;HC3;PSC3	Proteasome subunit alpha type-2
P25788	PSMA3;HC8;PSC8	Proteasome subunit alpha type-3
P25789	PSMA4;HC9;PSC9	Proteasome subunit alpha type-4
P25815	S100P;S100E	Protein S100-P
P26006	ITGA3;MSK18	Integrin alpha-3
P26006-2	ITGA3 	Integrin alpha-3
P26038	MSN	Moesin
P26196	DDX6;HLR2;RCK	Probable ATP-dependent RNA helicase DDX6
P26232	CTNNA2;CAPR	Catenin alpha-2
P26358	DNMT1;AIM;CXXC9;DNMT	DNA (cytosine-5)-methyltransferase 1
P26368	U2AF2;U2AF65	Splicing factor U2AF 65 kDa subunit
P26368-2	U2AF2	Isoform 2 of Splicing factor U2AF 65 kDa subunit
P26373	RPL13;BBC1;OK/SW-cl.46	60S ribosomal protein L13
P26447	S100A4;CAPL;MTS1	Protein S100-A4
P26583	HMGB2;HMG2	High mobility group protein B2
P26599	PTBP1;PTB	Polypyrimidine tract-binding protein 1
P26599-1	PTBP1 	Polypyrimidine tract-binding protein 1
P26639	TARS	Threonine--tRNA ligase, cytoplasmic
P26640	VARS;G7A;VARS2	Valine--tRNA ligase
P26641	EEF1G;EF1G;PRO1608	Elongation factor 1-gamma
P26992	CNTFR	Ciliary neurotrophic factor receptor subunit alpha
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein
P27169	PON1;PON	Serum paraoxonase/arylesterase 1
P27338	MAOB	Amine oxidase [flavin-containing] B
P27348	YWHAQ	14-3-3 protein theta
P27448	MARK3;CTAK1;EMK2	MAP/microtubule affinity-regulating kinase 3
P27449	ATP6V0C;ATP6C;ATP6L;ATPL	V-type proton ATPase 16 kDa proteolipid subunit
P27487	DPP4;ADCP2;CD26	Dipeptidyl peptidase 4
P27635	RPL10;DXS648E;QM	60S ribosomal protein L10
P27694	RPA1;REPA1;RPA70	Replication protein A 70 kDa DNA-binding subunit
P27695	APEX1;APE;APE1;APEX;APX;HAP1;REF1	DNA- lyase, mitochondrial
P27701	CD82;KAI1;SAR2;ST6;TSPAN27	CD82 antigen
P27707	DCK	Deoxycytidine kinase
P27708	CAD	CAD protein
P27797	CALR;CRTC	Calreticulin
P27816	MAP4	Microtubule-associated protein 4
P27824	CANX	Calnexin
P27930	IL1R2;IL1RB	Interleukin-1 receptor type 2
P27986	PIK3R1;GRB1	Phosphatidylinositol 3-kinase regulatory subunit alpha
P28001	HIST1H2AB; H2AFM;HIST1H2AE; H2AFA	Histone H2A type 1-B/E
P28062	PSMB8;LMP7;PSMB5i;RING10;Y2	Proteasome subunit beta type-8
P28066	PSMA5	Proteasome subunit alpha type-5
P28070	PSMB4;PROS26	Proteasome subunit beta type-4
P28072	PSMB6;LMPY;Y	Proteasome subunit beta type-6
P28074	PSMB5;LMPX;MB1;X	Proteasome subunit beta type-5
P28288	ABCD3;PMP70;PXMP1	ATP-binding cassette sub-family D member 3
P28288-1	ABCD3 	ATP-binding cassette sub-family D member 3
P28290	SSFA2;CS1;KIAA1927;KRAP	Sperm-specific antigen 2
P28331	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
P28347	TEAD1;TCF13;TEF1	Transcriptional enhancer factor TEF-1
P28482	MAPK1;ERK2;PRKM1;PRKM2	Mitogen-activated protein kinase 1
P28827	PTPRM;PTPRL1	Receptor-type tyrosine-protein phosphatase mu
P28838	LAP3;LAPEP;PEPS	Cytosol aminopeptidase
P29043	SERPINH1; CBP1; CBP2; HSP47; SERPINH2	Serpin H1
P29144	TPP2	Tripeptidyl-peptidase 2
P29274	ADORA2A;ADORA2	Adenosine receptor A2a
P29312	YWHAZ	14-3-3 protein zeta/delta
P29317	EPHA2;ECK	Ephrin type-A receptor 2
P29350	PTPN6;HCP;PTP1C	Tyrosine-protein phosphatase non-receptor type 6
P29373	CRABP2	Cellular retinoic acid-binding protein 2
P29401	TKT	Transketolase
P29590	PML;MYL;PP8675;RNF71;TRIM19	Protein PML
P29692	EEF1D;EF1D	Elongation factor 1-delta
P29692-1	EEF1D 	Elongation factor 1-delta
P29728	OAS2	2'-5'-oligoadenylate synthase 2
P29777	GNAO1	Guanine nucleotide-binding protein G(o) subunit alpha
P29966	MARCKS;MACS;PRKCSL	Myristoylated alanine-rich C-kinase substrate
P29972	AQP1;CHIP28	Aquaporin-1
P29992	GNA11;GA11	Guanine nucleotide-binding protein subunit alpha-11
P30040	ERP29;C12orf8;ERP28	Endoplasmic reticulum resident protein 29
P30041	PRDX6;AOP2;KIAA0106	Peroxiredoxin-6
P30042	C21orf33;HES1;KNPI	ES1 protein homolog, mitochondrial
P30044	PRDX5;ACR1;SBBI10	Peroxiredoxin-5, mitochondrial
P30048	PRDX3;AOP1	Thioredoxin-dependent peroxide reductase, mitochondrial
P30049	ATP5D	ATP synthase subunit delta, mitochondrial
P30050	RPL12	60S ribosomal protein L12
P30050-1	RPL12 	60S ribosomal protein L12
P30084	ECHS1	Enoyl-CoA hydratase, mitochondrial
P30085	CMPK1;CMK;CMPK;UCK;UMK;UMPK	UMP-CMP kinase
P30086	PEBP1;PBP;PEBP	Phosphatidylethanolamine-binding protein 1
P30101	PDIA3;ERP57;ERP60;GRP58	Protein disulfide-isomerase A3
P30153	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
P30154	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform
P30273	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma
P30304	CDC25A	M-phase inducer phosphatase 1
P30405	PPIF;CYP3	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
P30443	HLA-A;HLAA	HLA class I histocompatibility antigen, A-1 alpha chain
P30455	HLA-A;HLAA	HLA class I histocompatibility antigen, A-36 alpha chain
P30464	HLA-B;HLAB	HLA class I histocompatibility antigen, B-15 alpha chain
P30481	HLA-B;HLAB	HLA class I histocompatibility antigen, B-44 alpha chain
P30488	HLA-B;HLAB	HLA class I histocompatibility antigen, B-50 alpha chain
P30499	HLA-C;HLAC	HLA class I histocompatibility antigen, Cw-1 alpha chain
P30508	HLA-C;HLAC	HLA class I histocompatibility antigen, Cw-12 alpha chain
P30519	HMOX2;HO2	Heme oxygenase 2
P30520	ADSS;ADSS2	Adenylosuccinate synthetase isozyme 2
P30532	CHRNA5;NACHRA5	Neuronal acetylcholine receptor subunit alpha-5
P30533	LRPAP1;A2MRAP	Alpha-2-macroglobulin receptor-associated protein
